TEAM,NAME,EXPERIENCE,URL,POSITION,AGE,HT,WT,COLLEGE,SALARY,PPG_LAST_SEASON,APG_LAST_SEASON,RPG_LAST_SEASON,PER_LAST_SEASON,PPG_CAREER,APG_CAREER,RGP_CAREER,GP,MPG,FGM_FGA,FGP,THM_THA,THP,FTM_FTA,FTP,APG,BLKPG,STLPG,TOPG,PPG
Boston Celtics,Aron Baynes,6,http://www.espn.com/nba/player/_/id/2968439,SF,31,208.28,117.65,Washington State,"5,193,600",6,1.1,5.4,12.09,5.4,0.7,4.4,376,15,2.2-4.3,0.502,0.0-0.1,0.143,1.0-1.3,0.802,0.7,0.5,0.2,0.8,5.4
Boston Celtics,Justin Bibbs,0,http://www.espn.com/nba/player/_/id/3147500,G,22,195.58,99.55,Virginia Tech,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston Celtics,Jabari Bird,1,http://www.espn.com/nba/player/_/id/3064308,SG,24,198.12,89.59,California,"1,349,464",3,0.6,1.5,12.18,3,0.6,1.5,13,8.8,1.2-2.0,0.577,0.2-0.5,0.429,0.5-1.0,0.462,0.6,0.1,0.2,0.6,3
Boston Celtics,Jaylen Brown,2,http://www.espn.com/nba/player/_/id/3917376,F,21,200.66,99.55,California,"5,169,960",14.5,1.6,4.9,13.69,10.4,1.2,3.8,148,23.6,3.8-8.3,0.461,1.1-3.0,0.379,1.6-2.4,0.658,1.2,0.3,0.7,1.3,10.4
Boston Celtics,PJ Dozier,1,http://www.espn.com/nba/player/_/id/3923250,PG,21,198.12,92.76,South Carolina,Not signed,1,0,0.5,-4.82,1,0,0.5,2,1.5,0.5-1.0,0.5,0.0-0.0,0,0.0-0.0,0,0,0,0,0.5,1
Boston Celtics,Marcus Georges-Hunt,2,http://www.espn.com/nba/player/_/id/2982261,SG,24,195.58,102.26,Georgia Tech,Not signed,1.4,0.2,0.4,6.88,1.6,0.2,0.5,47,5.8,0.5-1.2,0.418,0.1-0.4,0.294,0.5-0.7,0.71,0.2,0,0.1,0.1,1.6
Boston Celtics,Gordon Hayward,8,http://www.espn.com/nba/player/_/id/4249,SF,28,203.2,101.81,Butler,"31,214,295",2,0,1,7.43,15.6,3.4,4.2,517,31.3,5.3-11.9,0.444,1.3-3.6,0.368,3.8-4.6,0.82,3.4,0.4,1,2,15.6
Boston Celtics,Al Horford,11,http://www.espn.com/nba/player/_/id/3213,PF,32,208.28,110.86,Florida,"28,928,709",12.9,7.4,1.1,17.63,14.2,8.6,1.2,718,33.2,6.0-11.4,0.525,0.4-1.1,0.37,1.8-2.4,0.75,3.2,1.2,0.8,1.6,14.2
Boston Celtics,Kyrie Irving,7,http://www.espn.com/nba/player/_/id/6442,PG,26,190.5,87.33,Duke,"20,099,189",24.4,5.1,3.8,25.03,22,5.5,3.4,441,33.9,8.0-17.4,0.462,2.0-5.2,0.388,3.9-4.5,0.875,5.5,0.3,1.3,2.7,22
Boston Celtics,Nick King,0,http://www.espn.com/nba/player/_/id/3057182,F,23,200.66,101.81,Middle Tennessee,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
